0.100	0.200
0.102	0.200
0.103	0.200
0.105	0.200
0.107	0.200
0.109	0.200
0.110	0.199
0.112	0.199
0.114	0.199
0.116	0.199
0.117	0.198
0.119	0.198
0.121	0.198
0.122	0.197
0.124	0.197
0.126	0.197
0.128	0.196
0.129	0.196
0.131	0.195
0.133	0.195
0.134	0.194
0.136	0.193
0.137	0.193
0.139	0.192
0.141	0.191
0.142	0.191
0.144	0.190
0.145	0.189
0.147	0.188
0.148	0.187
0.150	0.187
0.152	0.186
0.153	0.185
0.154	0.184
0.156	0.183
0.157	0.182
0.159	0.181
0.160	0.180
0.162	0.179
0.163	0.178
0.164	0.177
0.166	0.175
0.167	0.174
0.168	0.173
0.169	0.172
0.171	0.171
0.172	0.169
0.173	0.168
0.174	0.167
0.175	0.166
0.177	0.164
0.178	0.163
0.179	0.162
0.180	0.160
0.181	0.159
0.182	0.157
0.183	0.156
0.184	0.154
0.185	0.153
0.186	0.152
0.187	0.150
0.187	0.148
0.188	0.147
0.189	0.145
0.190	0.144
0.191	0.142
0.191	0.141
0.192	0.139
0.193	0.137
0.193	0.136
0.194	0.134
0.195	0.133
0.195	0.131
0.196	0.129
0.196	0.128
0.197	0.126
0.197	0.124
0.197	0.122
0.198	0.121
0.198	0.119
0.198	0.117
0.199	0.116
0.199	0.114
0.199	0.112
0.199	0.110
0.200	0.109
0.200	0.107
0.200	0.105
0.200	0.103
0.200	0.102
0.200	0.100
0.200	0.098
0.200	0.097
0.200	0.095
0.200	0.093
0.200	0.091
0.199	0.090
0.199	0.088
0.199	0.086
0.199	0.084
0.198	0.083
0.198	0.081
0.198	0.079
0.197	0.078
0.197	0.076
0.197	0.074
0.196	0.072
0.196	0.071
0.195	0.069
0.195	0.067
0.194	0.066
0.193	0.064
0.193	0.063
0.192	0.061
0.191	0.059
0.191	0.058
0.190	0.056
0.189	0.055
0.188	0.053
0.187	0.052
0.187	0.050
0.186	0.048
0.185	0.047
0.184	0.046
0.183	0.044
0.182	0.043
0.181	0.041
0.180	0.040
0.179	0.038
0.178	0.037
0.177	0.036
0.175	0.034
0.174	0.033
0.173	0.032
0.172	0.031
0.171	0.029
0.169	0.028
0.168	0.027
0.167	0.026
0.166	0.025
0.164	0.023
0.163	0.022
0.162	0.021
0.160	0.020
0.159	0.019
0.157	0.018
0.156	0.017
0.154	0.016
0.153	0.015
0.152	0.014
0.150	0.013
0.148	0.013
0.147	0.012
0.145	0.011
0.144	0.010
0.142	0.009
0.141	0.009
0.139	0.008
0.137	0.007
0.136	0.007
0.134	0.006
0.133	0.005
0.131	0.005
0.129	0.004
0.128	0.004
0.126	0.003
0.124	0.003
0.122	0.003
0.121	0.002
0.119	0.002
0.117	0.002
0.116	0.001
0.114	0.001
0.112	0.001
0.110	0.001
0.109	0.000
0.107	0.000
0.105	0.000
0.103	0.000
0.102	0.000
0.100	0.000
0.098	0.000
0.097	0.000
0.095	0.000
0.093	0.000
0.091	0.000
0.090	0.001
0.088	0.001
0.086	0.001
0.084	0.001
0.083	0.002
0.081	0.002
0.079	0.002
0.078	0.003
0.076	0.003
0.074	0.003
0.072	0.004
0.071	0.004
0.069	0.005
0.067	0.005
0.066	0.006
0.064	0.007
0.063	0.007
0.061	0.008
0.059	0.009
0.058	0.009
0.056	0.010
0.055	0.011
0.053	0.012
0.052	0.013
0.050	0.013
0.048	0.014
0.047	0.015
0.046	0.016
0.044	0.017
0.043	0.018
0.041	0.019
0.040	0.020
0.038	0.021
0.037	0.022
0.036	0.023
0.034	0.025
0.033	0.026
0.032	0.027
0.031	0.028
0.029	0.029
0.028	0.031
0.027	0.032
0.026	0.033
0.025	0.034
0.023	0.036
0.022	0.037
0.021	0.038
0.020	0.040
0.019	0.041
0.018	0.043
0.017	0.044
0.016	0.046
0.015	0.047
0.014	0.048
0.013	0.050
0.013	0.052
0.012	0.053
0.011	0.055
0.010	0.056
0.009	0.058
0.009	0.059
0.008	0.061
0.007	0.063
0.007	0.064
0.006	0.066
0.005	0.067
0.005	0.069
0.004	0.071
0.004	0.072
0.003	0.074
0.003	0.076
0.003	0.078
0.002	0.079
0.002	0.081
0.002	0.083
0.001	0.084
0.001	0.086
0.001	0.088
0.001	0.090
0.000	0.091
0.000	0.093
0.000	0.095
0.000	0.097
0.000	0.098
0.000	0.100
0.000	0.102
0.000	0.103
0.000	0.105
0.000	0.107
0.000	0.109
0.001	0.110
0.001	0.112
0.001	0.114
0.001	0.116
0.002	0.117
0.002	0.119
0.002	0.121
0.003	0.122
0.003	0.124
0.003	0.126
0.004	0.128
0.004	0.129
0.005	0.131
0.005	0.133
0.006	0.134
0.007	0.136
0.007	0.137
0.008	0.139
0.009	0.141
0.009	0.142
0.010	0.144
0.011	0.145
0.012	0.147
0.013	0.148
0.013	0.150
0.014	0.152
0.015	0.153
0.016	0.154
0.017	0.156
0.018	0.157
0.019	0.159
0.020	0.160
0.021	0.162
0.022	0.163
0.023	0.164
0.025	0.166
0.026	0.167
0.027	0.168
0.028	0.169
0.029	0.171
0.031	0.172
0.032	0.173
0.033	0.174
0.034	0.175
0.036	0.177
0.037	0.178
0.038	0.179
0.040	0.180
0.041	0.181
0.043	0.182
0.044	0.183
0.046	0.184
0.047	0.185
0.048	0.186
0.050	0.187
0.052	0.187
0.053	0.188
0.055	0.189
0.056	0.190
0.058	0.191
